asof_mode,horizon,threshold_type,threshold_value,target_usage,calibration_method,readiness_category,development_only,evaluation_row_count,positive_event_count,negative_event_count,mean_brier_score,mean_brier_retention,validation_market_event_block_count,mean_log_loss,mean_expected_calibration_error,max_expected_calibration_error,mean_auc,mean_average_precision,clustered_uncertainty_width,fold_count,readiness_reason
close_t_minus_1,20,fixed,0.1,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,156202,25226,130976,0.14534096534194096,0.05361941399706168,2,0.5099497829811812,0.11101598540265326,0.2683974198873504,0.5583561439977679,0.19298190248075767,0.08337147206161455,10,ranking_retained_but_probability_gate_not_met
close_t_minus_1,20,fixed,0.1,eligible,isotonic_calibration,ordinal_only_candidate,yes,156202,25226,130976,0.14583988497574515,0.053120494363257456,2,0.5652796664818347,0.11199789119642464,0.31962946294079503,0.5516653185284046,0.18936415305549345,0.08249632680904762,10,ranking_retained_but_probability_gate_not_met
close_t,1,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157442,6383,151059,0.1530884554249907,0.0,7,0.48570181316244715,0.32109416358265996,0.7336899793633481,0.6613336541261398,0.07822395266877855,0.017073309812701054,10,diagnostic_only_target_usage
close_t,1,fixed,0.03,diagnostic_only,platt_logistic_calibration,research_only,yes,157442,6383,151059,0.038752907831320973,0.11433554759366973,7,0.16829502479702507,0.022127437976519337,0.13330777795414683,0.6613336541261398,0.07822395266877855,0.03624575901893075,10,diagnostic_only_target_usage
close_t,1,fixed,0.03,diagnostic_only,isotonic_calibration,research_only,yes,157442,6383,151059,0.03860091949888245,0.11448753592610825,7,0.16863517068129247,0.019411237616499225,0.07236151249516923,0.6584289341075016,0.08026048092814006,0.035833468845151525,10,diagnostic_only_target_usage
close_t,1,fixed,0.05,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157442,1702,155740,0.09281154938626143,0.0,1,0.33402774056877044,0.2468874097241372,0.7863326091047039,0.6970264084258914,0.03218507204622771,0.017896572324271942,10,diagnostic_only_target_usage
close_t,1,fixed,0.05,diagnostic_only,platt_logistic_calibration,research_only,yes,157442,1702,155740,0.010733860859038522,0.08207768852722291,1,0.06116248671048781,0.009640173151887806,0.039177825325809164,0.6970264084258914,0.03218507204622771,0.022063543306333772,10,diagnostic_only_target_usage
close_t,1,fixed,0.05,diagnostic_only,isotonic_calibration,research_only,yes,157442,1702,155740,0.01065226673521753,0.0821592826510439,1,0.0735270856850124,0.006826086644975883,0.05346508000055835,0.692938517532623,0.03225524962612121,0.021904924214695615,10,diagnostic_only_target_usage
close_t,1,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157442,381,157061,0.04650461339547291,0.0,0,0.19312919307052073,0.15007543400797002,0.8077494156795781,0.7792970803341567,0.026768553385070004,0.011616755048598083,10,diagnostic_only_target_usage
close_t,1,fixed,0.08,diagnostic_only,platt_logistic_calibration,research_only,yes,141694,297,141397,0.0021029148231820546,0.04236717691235096,0,0.015286266276212317,0.002621197898577515,0.005224644900938512,0.6122738729604866,0.025853286980921358,0.0007697982121598356,10,diagnostic_only_target_usage
close_t,1,fixed,0.08,diagnostic_only,isotonic_calibration,research_only,yes,141694,297,141397,0.0020843714076464867,0.042385720327886525,0,0.021856303024407935,0.000938491642762539,0.007511629471415224,0.7523014925665499,0.026613856237806915,0.000756889579441792,10,diagnostic_only_target_usage
close_t,1,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157442,118,157324,0.024818798733366038,0.0,0,0.11731433185202285,0.09426424769923038,0.7819436072965075,0.7625502428343708,0.019373349303809108,0.01588864942007462,10,diagnostic_only_target_usage
close_t,1,fixed,0.1,diagnostic_only,platt_logistic_calibration,research_only,yes,47206,85,47121,0.0017960198439065775,0.02694547663336197,0,0.012332998134931397,0.0008504442187977922,0.0008504442187977922,0.6858840261100635,0.03412176740544358,0.018580545013883475,10,diagnostic_only_target_usage
close_t,1,fixed,0.1,diagnostic_only,isotonic_calibration,research_only,yes,47206,85,47121,0.0018018598630953429,0.026939636614173205,0,0.041771486897392664,0.0007699907678125278,0.0007699907678125278,0.5925695770569466,0.07648832680240669,0.01860144709969199,10,diagnostic_only_target_usage
close_t,3,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157318,25128,132190,0.2034038025267472,0.0,11,0.5966699559008442,0.2652284400698569,0.5016579601808877,0.5979628694302336,0.21507053130454654,0.011087198027986744,10,diagnostic_only_target_usage
close_t,3,fixed,0.03,diagnostic_only,platt_logistic_calibration,research_only,yes,157318,25128,132190,0.13370338761705805,0.06970041490968912,11,0.4376184937517237,0.0585189968820282,0.22504643822589127,0.5945550572279048,0.2133739373301538,0.06207005165557432,10,diagnostic_only_target_usage
close_t,3,fixed,0.03,diagnostic_only,isotonic_calibration,research_only,yes,157318,25128,132190,0.13334350383158003,0.07006029869516717,11,0.4418994892534326,0.052365998671253765,0.2685086500433126,0.5939350019772949,0.22142673641421662,0.0616635754250565,10,diagnostic_only_target_usage
close_t,3,fixed,0.05,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157318,9294,148024,0.1548369155479617,0.0,5,0.487414720436001,0.29704138766456095,0.6925454580713545,0.6347635835672535,0.10340533074332933,0.015477910610914303,10,diagnostic_only_target_usage
close_t,3,fixed,0.05,diagnostic_only,platt_logistic_calibration,research_only,yes,157318,9294,148024,0.056300966170026556,0.09853594937793511,5,0.23153017655948585,0.041513644455198506,0.1271666779701534,0.6443577909960001,0.10425013643804745,0.047591095176708745,10,diagnostic_only_target_usage
close_t,3,fixed,0.05,diagnostic_only,isotonic_calibration,research_only,yes,157318,9294,148024,0.05609794646910499,0.0987389690788567,5,0.23977601004161997,0.03923719379141942,0.15660066045802,0.6338943436368345,0.10221572520087956,0.04728681831026123,10,diagnostic_only_target_usage
close_t,3,fixed,0.08,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157318,2684,154634,0.09391604324335223,0.0,0,0.3304843875745417,0.23011505151034717,0.7380216213402578,0.6733813739812317,0.04653924920902276,0.018249217521858915,10,diagnostic_only_target_usage
close_t,3,fixed,0.08,diagnostic_only,platt_logistic_calibration,research_only,yes,157318,2684,154634,0.016984100489788708,0.07693194275356353,0,0.09459025862351127,0.01889551169075056,0.06571070350031667,0.6946558283683044,0.04637773106088732,0.02718856704154175,10,diagnostic_only_target_usage
close_t,3,fixed,0.08,diagnostic_only,isotonic_calibration,research_only,yes,157318,2684,154634,0.01685836743937223,0.07705767580398,0,0.14043488662026846,0.015103322560953942,0.052069680455137254,0.6756577277139273,0.04454667717628789,0.027060701985727846,10,diagnostic_only_target_usage
close_t,3,fixed,0.1,diagnostic_only,identity_uncalibrated_reference,research_only,yes,157318,1368,155950,0.0674599851460608,0.0,0,0.25241392673767926,0.18175766126702603,0.7857640467743743,0.6872287475947171,0.04135022927318996,0.017361450503587977,10,diagnostic_only_target_usage
close_t,3,fixed,0.1,diagnostic_only,platt_logistic_calibration,research_only,yes,157318,1368,155950,0.008695363486545933,0.05876462165951487,0,0.05606287896531701,0.010723183875481617,0.03072959984330743,0.6741053975408339,0.040754080292060776,0.01511045604780267,10,diagnostic_only_target_usage
close_t,3,fixed,0.1,diagnostic_only,isotonic_calibration,research_only,yes,157318,1368,155950,0.00863796075910133,0.05882202438695947,0,0.1002899002167855,0.008167122218043521,0.020356614503959706,0.6728532819582943,0.04017163239212814,0.01504020250792517,10,diagnostic_only_target_usage
close_t,5,fixed,0.03,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,157194,40420,116774,0.2226085253122835,0.0,8,0.6369489418010684,0.1867682252085435,0.3673355418470018,0.5705478390856886,0.3098216022017509,0.008111192526797428,10,uncalibrated_reference_not_probability
close_t,5,fixed,0.03,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,157194,40420,116774,0.1913803790001108,0.031228146312172734,8,0.5714168005945878,0.07349934244892457,0.2699934980039493,0.5758976822599069,0.3126197774563451,0.06439560425796464,10,ranking_retained_but_probability_gate_not_met
close_t,5,fixed,0.03,eligible,isotonic_calibration,ordinal_only_candidate,yes,157194,40420,116774,0.1906503452767077,0.03195818003557579,8,0.5778001703498244,0.06708685413718438,0.3142327844208315,0.5670857092099355,0.3134105741297789,0.0638883532240972,10,ranking_retained_but_probability_gate_not_met
close_t,5,fixed,0.05,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,157194,18315,138879,0.1866762023848609,0.0,6,0.559182880600856,0.28124865205617056,0.4873562750912347,0.5981283065365189,0.16794357522216646,0.012142534972628127,10,uncalibrated_reference_not_probability
close_t,5,fixed,0.05,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,157194,18315,138879,0.10415507710529096,0.08252112527956995,6,0.36749254874028814,0.05769555311401884,0.2106854491616037,0.6119746708227699,0.17152501699687045,0.06356780581370229,10,ranking_retained_but_probability_gate_not_met
close_t,5,fixed,0.05,eligible,isotonic_calibration,ordinal_only_candidate,yes,157194,18315,138879,0.10419738426511602,0.08247881811974488,6,0.37996916238414485,0.0553817645610913,0.24768292418564708,0.5978805492157311,0.16613479499508738,0.06300724739283528,10,ranking_retained_but_probability_gate_not_met
close_t,5,fixed,0.08,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,157194,6159,151035,0.13059065953062116,0.0,2,0.4245007905092849,0.2671876973495693,0.7321397168756997,0.6227911167500537,0.07116836534623452,0.015914276383114268,10,uncalibrated_reference_not_probability
close_t,5,fixed,0.08,eligible,platt_logistic_calibration,usable_probability_candidate,yes,157194,6159,151035,0.038256055884999196,0.09233460364562199,2,0.17723351343682897,0.033133005326379396,0.10451274180896339,0.6527917299460311,0.07434680988328163,0.04345724616434518,10,development_calibration_gate_pass
close_t,5,fixed,0.08,eligible,isotonic_calibration,usable_probability_candidate,yes,157194,6159,151035,0.038205796165167255,0.0923848633654539,2,0.19297792703882516,0.028660602750950476,0.23129980549371534,0.6317873736271395,0.07227470706936244,0.04321598255799357,10,development_calibration_gate_pass
close_t,5,fixed,0.1,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,157194,3305,153889,0.10108159035743514,0.0,0,0.3454935795813111,0.23009704821051594,0.7700911819859853,0.66147651387954,0.04766042315113332,0.015789878608286623,10,uncalibrated_reference_not_probability
close_t,5,fixed,0.1,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,157194,3305,153889,0.020939049621859555,0.08014254073557556,0,0.1143953746801289,0.02236426948634245,0.05103642274962711,0.6724050185639127,0.047163908583570315,0.02575355504804893,10,market_event_block_evidence_below_minimum
close_t,5,fixed,0.1,eligible,isotonic_calibration,ordinal_only_candidate,yes,157194,3305,153889,0.020775433172749,0.08030615718468612,0,0.16639063925509018,0.017964549462682198,0.09921294520206196,0.6647559723222674,0.047394080611300946,0.025537293293423323,10,market_event_block_evidence_below_minimum
close_t,10,fixed,0.03,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,156822,63952,92870,0.24187465501319685,0.0,2,0.6768742875434126,0.07696265923310766,0.35325958869480045,0.5439819740892724,0.44659198057315913,0.0061948254552862125,10,uncalibrated_reference_not_probability
close_t,10,fixed,0.03,eligible,platt_logistic_calibration,research_only,yes,156822,63952,92870,0.24644279636266905,-0.004568141349472249,2,0.687035966723546,0.09630191423119555,0.24776536579481157,0.5443862235521869,0.4452593597794923,0.05109392987887987,10,calibration_diagnostics_not_ready
close_t,10,fixed,0.03,eligible,isotonic_calibration,research_only,yes,156822,63952,92870,0.24612587534593663,-0.004251220332739836,2,0.6939804431190308,0.08991001126727494,0.4458134482634706,0.5391690398871599,0.4411620106879213,0.05099330414424827,10,calibration_diagnostics_not_ready
close_t,10,fixed,0.05,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,156822,37516,119306,0.21888628718877742,0.0,4,0.6283550342726804,0.1907172565352028,0.4034337752950695,0.5641555156477411,0.2864141030539313,0.008869190533238203,10,uncalibrated_reference_not_probability
close_t,10,fixed,0.05,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,156822,37516,119306,0.18634349237093495,0.03254279481784249,4,0.5634141055020396,0.0879230735462757,0.23521956687619308,0.5764893409039,0.29226449966879425,0.07855679294293216,10,ranking_retained_but_probability_gate_not_met
close_t,10,fixed,0.05,eligible,isotonic_calibration,ordinal_only_candidate,yes,156822,37516,119306,0.18625321895980543,0.03263306822897202,4,0.5778689163408415,0.08245205447094936,0.3530824293366366,0.5602515120654996,0.2772058808253022,0.07831867054904346,10,ranking_retained_but_probability_gate_not_met
close_t,10,fixed,0.08,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,156822,16698,140124,0.17964595783023113,0.0,3,0.5397241188462665,0.2651874551007708,0.6113035695865696,0.5842071204771986,0.14474568928691978,0.011752612544232321,10,uncalibrated_reference_not_probability
close_t,10,fixed,0.08,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,156822,16698,140124,0.09899779765136664,0.08064816017886448,3,0.36847966286646844,0.0687047803197885,0.20523126602916336,0.5811578865545137,0.14133983603065584,0.07111553857425557,10,ranking_retained_but_probability_gate_not_met
close_t,10,fixed,0.08,eligible,isotonic_calibration,ordinal_only_candidate,yes,156822,16698,140124,0.09869285080952914,0.08095310702070196,3,0.40085154260368283,0.06520980543424626,0.2860681016071555,0.5873033748684614,0.1372058143240759,0.07035480123351152,10,ranking_retained_but_probability_gate_not_met
close_t,10,fixed,0.1,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,156822,10139,146683,0.1530157300146125,0.0,2,0.4743119538858923,0.2608367820880483,0.6914400639023095,0.6056050204963697,0.09716077442830855,0.011092909140170082,10,uncalibrated_reference_not_probability
close_t,10,fixed,0.1,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,156822,10139,146683,0.06260440607173393,0.09041132394287857,2,0.27303533998291246,0.052469161541940514,0.20166968110280506,0.5770331732228738,0.09141551411497564,0.049940702231021206,10,ranking_retained_but_probability_gate_not_met
close_t,10,fixed,0.1,eligible,isotonic_calibration,usable_probability_candidate,yes,156822,10139,146683,0.06257884795747046,0.09043688205714204,2,0.34574857239414086,0.049053523877567465,0.1304761595934249,0.6111242712014834,0.090533284624183,0.04943163541500486,10,development_calibration_gate_pass
close_t,20,fixed,0.03,diagnostic_only,identity_uncalibrated_reference,research_only,yes,156202,87159,69043,0.2561682151890414,0.0,1,0.7067745313843196,0.1091767232400312,0.22579744837858792,0.5293233533814916,0.585032366749915,0.004878685467985755,10,diagnostic_only_target_usage
close_t,20,fixed,0.03,diagnostic_only,platt_logistic_calibration,research_only,yes,156202,87159,69043,0.2565644783859507,-0.0003962631969092495,1,0.7078959229612943,0.1010203291632622,0.407726351597793,0.5103415871673447,0.5650512356826664,0.03387332216555594,10,diagnostic_only_target_usage
close_t,20,fixed,0.03,diagnostic_only,isotonic_calibration,research_only,yes,156202,87159,69043,0.25487639687511476,0.001291818313926621,1,0.7117804129405423,0.09515511459242501,0.3645064859444672,0.5217319426798799,0.5786742577751014,0.034462406559991665,10,diagnostic_only_target_usage
close_t,20,fixed,0.05,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,156202,62845,93357,0.2443533871198617,0.0,1,0.6826924260234476,0.0977147368707829,0.27441269815591907,0.5335058704170925,0.4324850140807606,0.006679277286198326,10,uncalibrated_reference_not_probability
close_t,20,fixed,0.05,eligible,platt_logistic_calibration,research_only,yes,156202,62845,93357,0.2516331159109217,-0.00727972879106,1,0.7021824985295795,0.11828504827946443,0.29645955625500686,0.5112503041674501,0.4124761522767807,0.07707549258460555,10,calibration_diagnostics_not_ready
close_t,20,fixed,0.05,eligible,isotonic_calibration,research_only,yes,156202,62845,93357,0.2509053294226199,-0.006551942302758166,1,0.7191613514234285,0.10940254402424623,0.3432722962451639,0.5268285482946984,0.42193859923703503,0.07732358467174894,10,calibration_diagnostics_not_ready
close_t,20,fixed,0.08,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,156202,36418,119784,0.2185622901971318,0.0,2,0.6274960136129908,0.18902639682139044,0.5316515113703922,0.5449215321664067,0.2648019456533918,0.008703163434074457,10,uncalibrated_reference_not_probability
close_t,20,fixed,0.08,eligible,platt_logistic_calibration,research_only,yes,156202,36418,119784,0.1900536777577782,0.02850861243935358,2,0.5932024047954396,0.11566823439783547,0.2351764013062824,0.5417797290990125,0.26137115187619997,0.09829636989932489,10,calibration_diagnostics_not_ready
close_t,20,fixed,0.08,eligible,isotonic_calibration,research_only,yes,156202,36418,119784,0.18983110551602453,0.028731184681107236,2,0.6155101624414091,0.11423082057475864,0.3572344029031945,0.5351460880902807,0.2522737905919993,0.09720494621037579,10,calibration_diagnostics_not_ready
close_t,20,fixed,0.1,eligible,identity_uncalibrated_reference,baseline_only_candidate,yes,156202,25226,130976,0.19874928131325084,0.0,2,0.583560010380517,0.22515272245615617,0.5510778531322148,0.5564395557065589,0.19286786231009245,0.008905718909100524,10,uncalibrated_reference_not_probability
close_t,20,fixed,0.1,eligible,platt_logistic_calibration,ordinal_only_candidate,yes,156202,25226,130976,0.14487330813939725,0.05387597317385358,2,0.5071450812630619,0.10932480423485194,0.2536488918818585,0.5598895623814493,0.19273572246865564,0.08337187579331257,10,ranking_retained_but_probability_gate_not_met
close_t,20,fixed,0.1,eligible,isotonic_calibration,ordinal_only_candidate,yes,156202,25226,130976,0.14532227752196653,0.053427003791284323,2,0.5560145089077099,0.11011993449889604,0.29209448686235023,0.5523978465822796,0.1899105229477312,0.08248049824550124,10,ranking_retained_but_probability_gate_not_met
